TOP.5fd02058.00042151	START
TOP.5fd02058.00042151	folder_config->cwd	F:\D_Data\neehackAgent\hashcat
TOP.5fd02058.00042151	folder_config->install_dir	.
TOP.5fd02058.00042151	folder_config->profile_dir	.
TOP.5fd02058.00042151	folder_config->session_dir	.
TOP.5fd02058.00042151	folder_config->shared_dir	.
TOP.5fd02058.00042151	user_options->separator	:
TOP.5fd02058.00042151	user_options->custom_charset_1	?l?d?u
TOP.5fd02058.00042151	user_options->custom_charset_2	?l?d
TOP.5fd02058.00042151	user_options->custom_charset_3	?l?d*!$@_
TOP.5fd02058.00042151	user_options->encoding_from	utf-8
TOP.5fd02058.00042151	user_options->encoding_to	utf-8
TOP.5fd02058.00042151	user_options->rule_buf_l	:
TOP.5fd02058.00042151	user_options->rule_buf_r	:
TOP.5fd02058.00042151	user_options->session	hashcat
TOP.5fd02058.00042151	user_options->limit	0
TOP.5fd02058.00042151	user_options->skip	0
TOP.5fd02058.00042151	user_options->attack_mode	3
TOP.5fd02058.00042151	user_options->benchmark	0
TOP.5fd02058.00042151	user_options->benchmark_all	0
TOP.5fd02058.00042151	user_options->bitmap_max	18
TOP.5fd02058.00042151	user_options->bitmap_min	16
TOP.5fd02058.00042151	user_options->debug_mode	0
TOP.5fd02058.00042151	user_options->example_hashes	0
TOP.5fd02058.00042151	user_options->force	0
TOP.5fd02058.00042151	user_options->hwmon_disable	0
TOP.5fd02058.00042151	user_options->hwmon_temp_abort	90
TOP.5fd02058.00042151	user_options->hash_mode	0
TOP.5fd02058.00042151	user_options->hex_charset	0
TOP.5fd02058.00042151	user_options->hex_salt	0
TOP.5fd02058.00042151	user_options->hex_wordlist	0
TOP.5fd02058.00042151	user_options->hook_threads	12
TOP.5fd02058.00042151	user_options->increment	1
TOP.5fd02058.00042151	user_options->increment_max	256
TOP.5fd02058.00042151	user_options->increment_min	1
TOP.5fd02058.00042151	user_options->keep_guessing	0
TOP.5fd02058.00042151	user_options->kernel_accel	0
TOP.5fd02058.00042151	user_options->kernel_loops	0
TOP.5fd02058.00042151	user_options->kernel_threads	0
TOP.5fd02058.00042151	user_options->keyspace	0
TOP.5fd02058.00042151	user_options->left	0
TOP.5fd02058.00042151	user_options->logfile_disable	0
TOP.5fd02058.00042151	user_options->loopback	0
TOP.5fd02058.00042151	user_options->machine_readable	0
TOP.5fd02058.00042151	user_options->markov_classic	0
TOP.5fd02058.00042151	user_options->markov_disable	0
TOP.5fd02058.00042151	user_options->markov_threshold	256
TOP.5fd02058.00042151	user_options->backend_info	0
TOP.5fd02058.00042151	user_options->backend_vector_width	0
TOP.5fd02058.00042151	user_options->optimized_kernel_enable	0
TOP.5fd02058.00042151	user_options->outfile_autohex	1
TOP.5fd02058.00042151	user_options->outfile_check_timer	5
TOP.5fd02058.00042151	user_options->outfile_format	3
TOP.5fd02058.00042151	user_options->wordlist_autohex_disable	0
TOP.5fd02058.00042151	user_options->potfile_disable	0
TOP.5fd02058.00042151	user_options->progress_only	0
TOP.5fd02058.00042151	user_options->quiet	0
TOP.5fd02058.00042151	user_options->remove	0
TOP.5fd02058.00042151	user_options->remove_timer	60
TOP.5fd02058.00042151	user_options->restore	0
TOP.5fd02058.00042151	user_options->restore_disable	0
TOP.5fd02058.00042151	user_options->restore_timer	60
TOP.5fd02058.00042151	user_options->rp_files_cnt	0
TOP.5fd02058.00042151	user_options->rp_gen	0
TOP.5fd02058.00042151	user_options->rp_gen_func_max	4
TOP.5fd02058.00042151	user_options->rp_gen_func_min	1
TOP.5fd02058.00042151	user_options->rp_gen_seed	0
TOP.5fd02058.00042151	user_options->runtime	0
TOP.5fd02058.00042151	user_options->scrypt_tmto	0
TOP.5fd02058.00042151	user_options->segment_size	33554432
TOP.5fd02058.00042151	user_options->self_test_disable	0
TOP.5fd02058.00042151	user_options->slow_candidates	0
TOP.5fd02058.00042151	user_options->show	0
TOP.5fd02058.00042151	user_options->speed_only	0
TOP.5fd02058.00042151	user_options->spin_damp	0
TOP.5fd02058.00042151	user_options->status	0
TOP.5fd02058.00042151	user_options->status_json	0
TOP.5fd02058.00042151	user_options->status_timer	10
